St.no;Year;Mnth;Date;Time(NMT);TA
68860;2012;2;1;1;-11.4
68860;2012;2;1;2;-11.5
68860;2012;2;1;3;-12.1
68860;2012;2;1;4;-11.3
68860;2012;2;1;5;-10.8
68860;2012;2;1;6;-13.1
68860;2012;2;1;7;-12.9
68860;2012;2;1;8;-11.6
68860;2012;2;1;9;-10.8
68860;2012;2;1;10;-12.8
68860;2012;2;1;11;-12.8
68860;2012;2;1;12;-10.6
68860;2012;2;1;13;-9.6
68860;2012;2;1;14;-10.4
68860;2012;2;1;15;-10.2
68860;2012;2;1;16;-9.5
68860;2012;2;1;17;-11.1
68860;2012;2;1;18;-9.9
68860;2012;2;1;19;-9.7
68860;2012;2;1;20;-9.9
68860;2012;2;1;21;-10.5
68860;2012;2;1;22;-9.4
68860;2012;2;1;23;-11.1
68860;2012;2;1;24;-10.4
68860;2012;2;2;1;-10.3
68860;2012;2;2;2;-9.6
68860;2012;2;2;3;-9.3
68860;2012;2;2;4;-8.7
68860;2012;2;2;5;-8.9
68860;2012;2;2;6;-8.8
68860;2012;2;2;7;-7.8
68860;2012;2;2;8;-7.6
68860;2012;2;2;9;-7.2
68860;2012;2;2;10;-7.0
68860;2012;2;2;11;-6.1
68860;2012;2;2;12;-6.2
68860;2012;2;2;13;-6.3
68860;2012;2;2;14;-6.4
68860;2012;2;2;15;-6.6
68860;2012;2;2;16;-6.9
68860;2012;2;2;17;-7.3
68860;2012;2;2;18;-7.2
68860;2012;2;2;19;-7.2
68860;2012;2;2;20;-8.2
68860;2012;2;2;21;-9.2
68860;2012;2;2;22;-9.2
68860;2012;2;2;23;-10.4
68860;2012;2;2;24;-9.9
68860;2012;2;3;1;-10.5
68860;2012;2;3;2;-11.2
68860;2012;2;3;3;-11.0
68860;2012;2;3;4;-11.8
68860;2012;2;3;5;-12.5
68860;2012;2;3;6;-12.0
68860;2012;2;3;7;-12.2
68860;2012;2;3;8;-11.8
68860;2012;2;3;9;-11.7
68860;2012;2;3;10;-10.9
68860;2012;2;3;11;-10.2
68860;2012;2;3;12;-9.5
68860;2012;2;3;13;-9.1
68860;2012;2;3;14;-8.7
68860;2012;2;3;15;-8.7
68860;2012;2;3;16;-8.7
68860;2012;2;3;17;-8.6
68860;2012;2;3;18;-8.5
