Stnr;År;Mnd;Dag;Time(NMT);TA
68860;2015;2;1;1;-3.8
68860;2015;2;1;2;-3.4
68860;2015;2;1;3;-3.6
68860;2015;2;1;4;-3.4
68860;2015;2;1;5;-3.5
68860;2015;2;1;6;-3.7
68860;2015;2;1;7;-4.5
68860;2015;2;1;8;-4.5
68860;2015;2;1;9;-4.9
68860;2015;2;1;10;-4.4
68860;2015;2;1;11;-4.0
68860;2015;2;1;12;-4.0
68860;2015;2;1;13;-3.9
68860;2015;2;1;14;-4.0
68860;2015;2;1;15;-4.2
68860;2015;2;1;16;-4.5
68860;2015;2;1;17;-4.3
68860;2015;2;1;18;-4.3
68860;2015;2;1;19;-4.4
68860;2015;2;1;20;-4.4
68860;2015;2;1;21;-4.4
68860;2015;2;1;22;-4.1
68860;2015;2;1;23;-4.1
68860;2015;2;1;24;-3.5
68860;2015;2;2;1;-3.7
68860;2015;2;2;2;-3.7
68860;2015;2;2;3;-4.0
68860;2015;2;2;4;-4.1
68860;2015;2;2;5;-4.2
68860;2015;2;2;6;-4.7
68860;2015;2;2;7;-5.1
68860;2015;2;2;8;-4.7
68860;2015;2;2;9;-4.9
68860;2015;2;2;10;-4.7
68860;2015;2;2;11;-4.9
68860;2015;2;2;12;-4.8
68860;2015;2;2;13;-4.7
68860;2015;2;2;14;-4.5
68860;2015;2;2;15;-4.7
68860;2015;2;2;16;-4.8
68860;2015;2;2;17;-5.1
68860;2015;2;2;18;-4.6
68860;2015;2;2;19;-4.6
68860;2015;2;2;20;-4.5
68860;2015;2;2;21;-4.6
68860;2015;2;2;22;-4.9
68860;2015;2;2;23;-5.0
68860;2015;2;2;24;-4.7
68860;2015;2;3;1;-4.8
68860;2015;2;3;2;-4.5
68860;2015;2;3;3;-4.5
68860;2015;2;3;4;-4.3
68860;2015;2;3;5;-4.6
68860;2015;2;3;6;-4.5
68860;2015;2;3;7;-4.5
68860;2015;2;3;8;-4.3
68860;2015;2;3;9;-4.3
68860;2015;2;3;10;-4.1
68860;2015;2;3;11;-4.1
68860;2015;2;3;12;-3.7
68860;2015;2;3;13;-3.6
68860;2015;2;3;14;-3.7
68860;2015;2;3;15;-3.8
68860;2015;2;3;16;-3.8
68860;2015;2;3;17;-3.8
68860;2015;2;3;18;-4.1
68860;2015;2;3;19;-4.1
68860;2015;2;3;20;-3.9
68860;2015;2;3;21;-4.2
68860;2015;2;3;22;-4.1
68860;2015;2;3;23;-4.1
68860;2015;2;3;24;-4.1
68860;2015;2;4;1;-4.1
68860;2015;2;4;2;-3.9
68860;2015;2;4;3;-3.9
68860;2015;2;4;4;-3.8
68860;2015;2;4;5;-3.8
68860;2015;2;4;6;-3.6
68860;2015;2;4;7;-3.4
68860;2015;2;4;8;-3.5
68860;2015;2;4;9;-3.4
68860;2015;2;4;10;-3.2
68860;2015;2;4;11;-3.3
68860;2015;2;4;12;-3.6
68860;2015;2;4;13;-3.3
68860;2015;2;4;14;-3.3
68860;2015;2;4;15;-3.2
68860;2015;2;4;16;-3.3
68860;2015;2;4;17;-3.5
68860;2015;2;4;18;-3.3
68860;2015;2;4;19;-3.5
68860;2015;2;4;20;-3.3
68860;2015;2;4;21;-3.3
68860;2015;2;4;22;-3.2
68860;2015;2;4;23;-3.3
68860;2015;2;4;24;-3.6
68860;2015;2;5;1;-3.8
68860;2015;2;5;2;-4.8
68860;2015;2;5;3;-5.5
68860;2015;2;5;4;-5.4
68860;2015;2;5;5;-4.7
68860;2015;2;5;6;-4.5
68860;2015;2;5;7;-4.0
68860;2015;2;5;8;-3.8
68860;2015;2;5;9;-3.6
68860;2015;2;5;10;-3.0
68860;2015;2;5;11;-1.4
68860;2015;2;5;12;-0.1
68860;2015;2;5;13;0.9
68860;2015;2;5;14;1.2
68860;2015;2;5;15;1.4
68860;2015;2;5;16;1.4
68860;2015;2;5;17;1.3
68860;2015;2;5;18;1.9
68860;2015;2;5;19;2.3
68860;2015;2;5;20;2.8
68860;2015;2;5;21;2.7
68860;2015;2;5;22;4.4
68860;2015;2;5;23;4.8
68860;2015;2;5;24;5.1
68860;2015;2;6;1;4.9
68860;2015;2;6;2;4.8
68860;2015;2;6;3;5.1
68860;2015;2;6;4;5.4
68860;2015;2;6;5;5.6
68860;2015;2;6;6;5.4
68860;2015;2;6;7;4.9
68860;2015;2;6;8;5.1
68860;2015;2;6;9;5.2
68860;2015;2;6;10;5.2
68860;2015;2;6;11;5.1
68860;2015;2;6;12;5.2
68860;2015;2;6;13;5.6
68860;2015;2;6;14;5.7
68860;2015;2;6;15;5.7
68860;2015;2;6;16;5.7
68860;2015;2;6;17;5.6
68860;2015;2;6;18;5.1
68860;2015;2;6;19;4.9
68860;2015;2;6;20;4.7
68860;2015;2;6;21;4.7
68860;2015;2;6;22;4.6
68860;2015;2;6;23;4.7
68860;2015;2;6;24;4.6
68860;2015;2;7;1;5.1
68860;2015;2;7;2;5.4
68860;2015;2;7;3;5.2
68860;2015;2;7;4;3.8
68860;2015;2;7;5;4.3
68860;2015;2;7;6;2.3
68860;2015;2;7;7;1.2
68860;2015;2;7;8;1.1
68860;2015;2;7;9;-0.1
68860;2015;2;7;10;-1.5
68860;2015;2;7;11;0.1
68860;2015;2;7;12;-0.6
68860;2015;2;7;13;0.3
68860;2015;2;7;14;-1.6
68860;2015;2;7;15;-0.1
68860;2015;2;7;16;-1.5
68860;2015;2;7;17;-0.8
68860;2015;2;7;18;-1.1
68860;2015;2;7;19;-2.0
68860;2015;2;7;20;-2.6
68860;2015;2;7;21;-2.4
68860;2015;2;7;22;-2.6
68860;2015;2;7;23;-1.8
68860;2015;2;7;24;-2.5
68860;2015;2;8;1;-1.4
68860;2015;2;8;2;-1.9
68860;2015;2;8;3;-3.1
68860;2015;2;8;4;-2.0
68860;2015;2;8;5;-0.4
68860;2015;2;8;6;-0.3
68860;2015;2;8;7;-0.7
68860;2015;2;8;8;-0.8
68860;2015;2;8;9;-1.2
68860;2015;2;8;10;-0.5
68860;2015;2;8;11;0.2
68860;2015;2;8;12;0.5
68860;2015;2;8;13;1.9
68860;2015;2;8;14;2.7
68860;2015;2;8;15;3.6
68860;2015;2;8;16;5.1
68860;2015;2;8;17;5.2
68860;2015;2;8;18;5.2
68860;2015;2;8;19;5.1
68860;2015;2;8;20;5.5
68860;2015;2;8;21;5.1
68860;2015;2;8;22;5.2
68860;2015;2;8;23;5.2
68860;2015;2;8;24;5.4
68860;2015;2;9;1;5.3
68860;2015;2;9;2;5.2
68860;2015;2;9;3;5.1
68860;2015;2;9;4;5.0
68860;2015;2;9;5;4.8
68860;2015;2;9;6;4.8
68860;2015;2;9;7;5.1
68860;2015;2;9;8;5.5
68860;2015;2;9;9;4.9
68860;2015;2;9;10;5.0
68860;2015;2;9;11;6.1
68860;2015;2;9;12;6.4
68860;2015;2;9;13;6.0
68860;2015;2;9;14;5.8
68860;2015;2;9;15;5.9
68860;2015;2;9;16;5.5
68860;2015;2;9;17;5.4
68860;2015;2;9;18;5.9
68860;2015;2;9;19;5.6
68860;2015;2;9;20;5.6
68860;2015;2;9;21;5.5
68860;2015;2;9;22;5.3
68860;2015;2;9;23;5.1
68860;2015;2;9;24;5.1
68860;2015;2;10;1;5.5
68860;2015;2;10;2;5.3
68860;2015;2;10;3;5.4
68860;2015;2;10;4;4.7
68860;2015;2;10;5;5.4
68860;2015;2;10;6;5.3
68860;2015;2;10;7;5.1
68860;2015;2;10;8;4.5
68860;2015;2;10;9;5.3
68860;2015;2;10;10;5.1
68860;2015;2;10;11;4.5
68860;2015;2;10;12;6.7
68860;2015;2;10;13;7.3
68860;2015;2;10;14;7.3
68860;2015;2;10;15;7.6
68860;2015;2;10;16;7.6
68860;2015;2;10;17;7.3
68860;2015;2;10;18;6.8
68860;2015;2;10;19;6.4
68860;2015;2;10;20;6.7
68860;2015;2;10;21;6.8
68860;2015;2;10;22;6.9
68860;2015;2;10;23;6.6
68860;2015;2;10;24;6.8
68860;2015;2;11;1;7.2
68860;2015;2;11;2;7.2
68860;2015;2;11;3;6.8
68860;2015;2;11;4;7.4
68860;2015;2;11;5;7.0
68860;2015;2;11;6;6.7
68860;2015;2;11;7;6.6
68860;2015;2;11;8;6.6
68860;2015;2;11;9;6.9
