St.no;Year;Mnth;Date;Time(NMT);TA
25110;2006;1;1;1;-6.7
25110;2006;1;1;2;-7.6
25110;2006;1;1;3;-7.7
25110;2006;1;1;4;-6.9
25110;2006;1;1;5;-6.7
25110;2006;1;1;6;-7.4
25110;2006;1;1;7;-8.4
25110;2006;1;1;8;-9.6
25110;2006;1;1;9;-12.2
25110;2006;1;1;10;-14.9
25110;2006;1;1;11;-14.5
25110;2006;1;1;12;-13.0
25110;2006;1;1;13;-10.7
25110;2006;1;1;14;-9.5
25110;2006;1;1;15;-9.2
25110;2006;1;1;16;-9.8
25110;2006;1;1;17;-11.5
25110;2006;1;1;18;-12.2
25110;2006;1;1;19;-11.5
25110;2006;1;1;20;-11.5
25110;2006;1;1;21;-12.6
25110;2006;1;1;22;-14.3
25110;2006;1;1;23;-14.9
25110;2006;1;1;24;-16.1
25110;2006;1;2;1;-14.5
25110;2006;1;2;2;-17.4
25110;2006;1;2;3;-18.2
25110;2006;1;2;4;-16.4
25110;2006;1;2;5;-16.5
25110;2006;1;2;6;-17.4
25110;2006;1;2;7;-18.9
25110;2006;1;2;8;-19.0
25110;2006;1;2;9;-19.0
25110;2006;1;2;10;-18.5
25110;2006;1;2;11;-15.4
25110;2006;1;2;12;-14.3
25110;2006;1;2;13;-15.4
25110;2006;1;2;14;-15.1
25110;2006;1;2;15;-14.7
25110;2006;1;2;16;-12.6
25110;2006;1;2;17;-13.5
25110;2006;1;2;18;-12.3
25110;2006;1;2;19;-12.6
25110;2006;1;2;20;-11.5
25110;2006;1;2;21;-10.9
25110;2006;1;2;22;-10.7
25110;2006;1;2;23;-11.1
25110;2006;1;2;24;-13.3
25110;2006;1;3;1;-15.0
25110;2006;1;3;2;-16.2
25110;2006;1;3;3;-16.6
25110;2006;1;3;4;-17.2
25110;2006;1;3;5;-17.2
25110;2006;1;3;6;-16.0
25110;2006;1;3;7;-16.3
25110;2006;1;3;8;-17.8
25110;2006;1;3;9;-17.8
25110;2006;1;3;10;-17.9
25110;2006;1;3;11;-16.9
25110;2006;1;3;12;-14.1
25110;2006;1;3;13;-12.4
25110;2006;1;3;14;-10.8
25110;2006;1;3;15;-9.9
25110;2006;1;3;16;-8.9
25110;2006;1;3;17;-8.8
25110;2006;1;3;18;-10.5
25110;2006;1;3;19;-11.2
25110;2006;1;3;20;-10.9
25110;2006;1;3;21;-13.1
25110;2006;1;3;22;-14.2
25110;2006;1;3;23;-14.7
25110;2006;1;3;24;-15.6
25110;2006;1;4;1;-14.8
25110;2006;1;4;2;-15.4
25110;2006;1;4;3;-15.1
25110;2006;1;4;4;-12.7
25110;2006;1;4;5;-11.9
25110;2006;1;4;6;-14.1
25110;2006;1;4;7;-14.2
25110;2006;1;4;8;-14.4
25110;2006;1;4;9;-14.3
25110;2006;1;4;10;-14.3
25110;2006;1;4;11;-14.4
25110;2006;1;4;12;-13.6
25110;2006;1;4;13;-13.3
25110;2006;1;4;14;-12.3
25110;2006;1;4;15;-13.3
25110;2006;1;4;16;-13.7
25110;2006;1;4;17;-14.7
25110;2006;1;4;18;-15.4
25110;2006;1;4;19;-16.1
25110;2006;1;4;20;-16.1
25110;2006;1;4;21;-16.0
25110;2006;1;4;22;-16.5
25110;2006;1;4;23;-16.5
25110;2006;1;4;24;-16.5
25110;2006;1;5;1;-14.0
25110;2006;1;5;2;-11.9
25110;2006;1;5;3;-11.1
25110;2006;1;5;4;-10.6
25110;2006;1;5;5;-10.3
25110;2006;1;5;6;-10.3
25110;2006;1;5;7;-10.4
25110;2006;1;5;8;-10.9
25110;2006;1;5;9;-10.9
25110;2006;1;5;10;-10.9
25110;2006;1;5;11;-10.2
25110;2006;1;5;12;-9.5
25110;2006;1;5;13;-9.8
25110;2006;1;5;14;-10.4
25110;2006;1;5;15;-10.6
25110;2006;1;5;16;-10.9
25110;2006;1;5;17;-11.0
25110;2006;1;5;18;-11.3
25110;2006;1;5;19;-11.4
25110;2006;1;5;20;-11.7
25110;2006;1;5;21;-12.4
25110;2006;1;5;22;-12.6
25110;2006;1;5;23;-13.4
25110;2006;1;5;24;-14.6
25110;2006;1;6;1;-15.4
25110;2006;1;6;2;-16.3
25110;2006;1;6;3;-17.3
25110;2006;1;6;4;-17.7
25110;2006;1;6;5;-18.2
25110;2006;1;6;6;-19.0
25110;2006;1;6;7;-19.5
25110;2006;1;6;8;-20.7
25110;2006;1;6;9;-20.9
25110;2006;1;6;10;-20.2
25110;2006;1;6;11;-18.6
25110;2006;1;6;12;-19.4
25110;2006;1;6;13;-18.5
25110;2006;1;6;14;-18.5
25110;2006;1;6;15;-18.6
25110;2006;1;6;16;-19.8
25110;2006;1;6;17;-20.8
25110;2006;1;6;18;-20.2
25110;2006;1;6;19;-19.8
25110;2006;1;6;20;-20.4
25110;2006;1;6;21;-20.8
25110;2006;1;6;22;-21.1
25110;2006;1;6;23;-22.1
25110;2006;1;6;24;-22.7
25110;2006;1;7;1;-22.8
25110;2006;1;7;2;-22.3
25110;2006;1;7;3;-22.6
25110;2006;1;7;4;-23.0
25110;2006;1;7;5;-23.6
25110;2006;1;7;6;-23.5
25110;2006;1;7;7;-23.2
25110;2006;1;7;8;-22.6
25110;2006;1;7;9;-22.7
25110;2006;1;7;10;-22.2
25110;2006;1;7;11;-21.1
25110;2006;1;7;12;-20.2
