St.no;Year;Mnth;Date;Time(NMT);TA
68860;2009;1;1;1;-2.4
68860;2009;1;1;2;-2.9
68860;2009;1;1;3;-2.3
68860;2009;1;1;4;-2.9
68860;2009;1;1;5;-3.1
68860;2009;1;1;6;-3.5
68860;2009;1;1;7;-3.9
68860;2009;1;1;8;-3.7
68860;2009;1;1;9;-3.7
68860;2009;1;1;10;-3.8
68860;2009;1;1;11;-3.5
68860;2009;1;1;12;-3.2
68860;2009;1;1;13;-3.2
68860;2009;1;1;14;-3.2
68860;2009;1;1;15;-3.0
68860;2009;1;1;16;-2.8
68860;2009;1;1;17;-2.8
68860;2009;1;1;18;-2.9
68860;2009;1;1;19;-3.0
68860;2009;1;1;20;-3.3
68860;2009;1;1;21;-3.1
68860;2009;1;1;22;-2.8
68860;2009;1;1;23;-3.7
68860;2009;1;1;24;-3.0
68860;2009;1;2;1;-3.3
68860;2009;1;2;2;-3.0
68860;2009;1;2;3;-3.3
68860;2009;1;2;4;-3.1
68860;2009;1;2;5;-3.3
68860;2009;1;2;6;-2.6
68860;2009;1;2;7;-2.6
68860;2009;1;2;8;-2.0
68860;2009;1;2;9;-2.2
68860;2009;1;2;10;-1.4
68860;2009;1;2;11;-1.5
68860;2009;1;2;12;-1.7
68860;2009;1;2;13;-0.3
68860;2009;1;2;14;-0.1
68860;2009;1;2;15;-0.1
68860;2009;1;2;16;-0.1
68860;2009;1;2;17;-0.2
68860;2009;1;2;18;-0.2
68860;2009;1;2;19;-0.4
68860;2009;1;2;20;0.0
68860;2009;1;2;21;0.0
68860;2009;1;2;22;0.1
68860;2009;1;2;23;0.0
68860;2009;1;2;24;0.0
68860;2009;1;3;1;0.0
68860;2009;1;3;2;0.0
68860;2009;1;3;3;-0.1
68860;2009;1;3;4;0.0
68860;2009;1;3;5;-0.2
68860;2009;1;3;6;-0.5
68860;2009;1;3;7;-0.9
68860;2009;1;3;8;-1.5
68860;2009;1;3;9;-1.4
68860;2009;1;3;10;-1.6
68860;2009;1;3;11;-2.0
68860;2009;1;3;12;-3.1
68860;2009;1;3;13;-4.6
68860;2009;1;3;14;-5.9
68860;2009;1;3;15;-6.1
68860;2009;1;3;16;-5.9
68860;2009;1;3;17;-6.7
68860;2009;1;3;18;-7.0
68860;2009;1;3;19;-7.7
68860;2009;1;3;20;-8.7
68860;2009;1;3;21;-9.7
68860;2009;1;3;22;-11.6
68860;2009;1;3;23;-12.3
68860;2009;1;3;24;-9.0
68860;2009;1;4;1;-11.4
68860;2009;1;4;2;-13.2
68860;2009;1;4;3;-11.9
68860;2009;1;4;4;-12.1
68860;2009;1;4;5;-14.1
