Stnr;År;Mnd;Dag;Time(NMT);TW
76932;2015;2;1;1;7.0
76932;2015;2;1;2;7.0
76932;2015;2;1;3;7.1
76932;2015;2;1;4;7.1
76932;2015;2;1;5;7.0
76932;2015;2;1;6;7.0
76932;2015;2;1;7;7.0
76932;2015;2;1;8;7.0
76932;2015;2;1;9;7.0
76932;2015;2;1;10;7.0
76932;2015;2;1;11;7.1
76932;2015;2;1;12;7.1
76932;2015;2;1;13;7.1
76932;2015;2;1;14;7.0
76932;2015;2;1;15;7.0
76932;2015;2;1;16;7.0
76932;2015;2;1;17;7.0
76932;2015;2;1;18;7.0
76932;2015;2;1;19;7.0
76932;2015;2;1;20;7.0
76932;2015;2;1;21;7.0
76932;2015;2;1;22;7.0
76932;2015;2;1;23;7.0
76932;2015;2;1;24;7.0
76932;2015;2;2;1;7.0
76932;2015;2;2;2;7.1
76932;2015;2;2;3;7.0
76932;2015;2;2;4;7.0
76932;2015;2;2;5;7.0
76932;2015;2;2;6;7.0
76932;2015;2;2;7;7.0
76932;2015;2;2;8;7.0
76932;2015;2;2;9;7.0
76932;2015;2;2;10;7.0
76932;2015;2;2;11;7.0
76932;2015;2;2;12;7.0
76932;2015;2;2;13;7.0
76932;2015;2;2;14;7.0
76932;2015;2;2;15;6.9
76932;2015;2;2;16;7.0
76932;2015;2;2;17;7.0
76932;2015;2;2;18;7.0
76932;2015;2;2;19;7.0
76932;2015;2;2;20;7.0
76932;2015;2;2;21;7.0
76932;2015;2;2;22;6.9
76932;2015;2;2;23;6.9
76932;2015;2;2;24;6.9
76932;2015;2;3;1;6.9
76932;2015;2;3;2;6.8
76932;2015;2;3;3;6.8
76932;2015;2;3;4;6.8
76932;2015;2;3;5;6.8
76932;2015;2;3;6;6.8
76932;2015;2;3;7;6.8
76932;2015;2;3;8;6.8
76932;2015;2;3;9;6.8
76932;2015;2;3;10;6.8
76932;2015;2;3;11;6.8
76932;2015;2;3;12;6.8
76932;2015;2;3;13;6.8
76932;2015;2;3;14;6.8
76932;2015;2;3;15;6.8
76932;2015;2;3;16;6.8
76932;2015;2;3;17;6.8
