Stnr;År;Mnd;Dag;Time(NMT);TW
76932;2016;2;15;1;6.8
76932;2016;2;15;2;6.8
76932;2016;2;15;3;6.8
76932;2016;2;15;4;6.7
76932;2016;2;15;5;6.8
76932;2016;2;15;6;6.7
76932;2016;2;15;7;6.7
76932;2016;2;15;8;6.7
76932;2016;2;15;9;6.7
76932;2016;2;15;10;6.7
76932;2016;2;15;11;6.7
76932;2016;2;15;12;6.7
76932;2016;2;15;13;6.7
76932;2016;2;15;14;6.7
76932;2016;2;15;15;6.7
76932;2016;2;15;16;6.8
76932;2016;2;15;17;6.8
76932;2016;2;15;18;6.8
76932;2016;2;15;19;6.8
76932;2016;2;15;20;6.9
76932;2016;2;15;21;6.8
76932;2016;2;15;22;6.8
76932;2016;2;15;23;6.8
76932;2016;2;15;24;6.8
76932;2016;2;16;1;6.8
76932;2016;2;16;2;6.8
76932;2016;2;16;3;6.8
76932;2016;2;16;4;6.8
76932;2016;2;16;5;6.8
76932;2016;2;16;6;6.8
76932;2016;2;16;7;6.8
76932;2016;2;16;8;6.9
76932;2016;2;16;9;6.9
76932;2016;2;16;10;6.9
76932;2016;2;16;11;6.9
76932;2016;2;16;12;6.9
76932;2016;2;16;13;6.9
76932;2016;2;16;14;7.0
76932;2016;2;16;15;7.0
76932;2016;2;16;16;7.0
76932;2016;2;16;17;7.0
76932;2016;2;16;18;7.0
76932;2016;2;16;19;7.0
76932;2016;2;16;20;7.0
76932;2016;2;16;21;7.0
76932;2016;2;16;22;7.0
76932;2016;2;16;23;7.0
76932;2016;2;16;24;7.0
76932;2016;2;17;1;7.1
76932;2016;2;17;2;7.1
76932;2016;2;17;3;7.0
76932;2016;2;17;4;7.0
76932;2016;2;17;5;7.1
76932;2016;2;17;6;7.1
76932;2016;2;17;7;7.1
76932;2016;2;17;8;7.1
76932;2016;2;17;9;7.1
76932;2016;2;17;10;7.1
76932;2016;2;17;11;7.1
76932;2016;2;17;12;7.1
76932;2016;2;17;13;7.1
76932;2016;2;17;14;7.1
76932;2016;2;17;15;7.1
76932;2016;2;17;16;7.1
76932;2016;2;17;17;7.1
76932;2016;2;17;18;7.1
76932;2016;2;17;19;7.1
76932;2016;2;17;20;7.0
76932;2016;2;17;21;7.0
76932;2016;2;17;22;7.0
76932;2016;2;17;23;7.0
76932;2016;2;17;24;7.0
76932;2016;2;18;1;7.0
76932;2016;2;18;2;7.0
76932;2016;2;18;3;6.9
76932;2016;2;18;4;6.9
76932;2016;2;18;5;6.9
76932;2016;2;18;6;6.8
76932;2016;2;18;7;6.8
76932;2016;2;18;8;6.8
76932;2016;2;18;9;6.8
76932;2016;2;18;10;6.7
76932;2016;2;18;11;6.7
76932;2016;2;18;12;6.7
76932;2016;2;18;13;6.7
76932;2016;2;18;14;6.7
76932;2016;2;18;15;6.7
76932;2016;2;18;16;6.7
76932;2016;2;18;17;6.7
76932;2016;2;18;18;6.7
76932;2016;2;18;19;6.7
76932;2016;2;18;20;6.8
76932;2016;2;18;21;6.8
76932;2016;2;18;22;6.8
76932;2016;2;18;23;6.8
76932;2016;2;18;24;6.8
76932;2016;2;19;1;6.8
76932;2016;2;19;2;6.9
76932;2016;2;19;3;6.9
76932;2016;2;19;4;6.9
76932;2016;2;19;5;6.9
76932;2016;2;19;6;6.9
76932;2016;2;19;7;7.0
76932;2016;2;19;8;7.0
76932;2016;2;19;9;7.0
76932;2016;2;19;10;7.0
76932;2016;2;19;11;7.0
76932;2016;2;19;12;7.0
76932;2016;2;19;13;7.0
76932;2016;2;19;14;7.0
76932;2016;2;19;15;7.0
76932;2016;2;19;16;7.0
76932;2016;2;19;17;7.0
76932;2016;2;19;18;7.0
76932;2016;2;19;19;7.0
76932;2016;2;19;20;7.0
76932;2016;2;19;21;7.0
76932;2016;2;19;22;7.0
76932;2016;2;19;23;7.0
76932;2016;2;19;24;7.0
