Stnr;År;Mnd;Dag;Time(NMT);TW
76932;2011;1;1;1; 
76932;2011;1;1;2;7.2
76932;2011;1;1;3;7.2
76932;2011;1;1;4;7.2
76932;2011;1;1;5;7.2
76932;2011;1;1;6;7.2
76932;2011;1;1;7;7.1
76932;2011;1;1;8;7.1
76932;2011;1;1;9;7.1
76932;2011;1;1;10;7.0
76932;2011;1;1;11;7.0
76932;2011;1;1;12;7.0
76932;2011;1;1;13;7.0
76932;2011;1;1;14;7.0
76932;2011;1;1;15;7.0
76932;2011;1;1;16;6.9
76932;2011;1;1;17;7.0
76932;2011;1;1;18;6.9
76932;2011;1;1;19;6.9
76932;2011;1;1;20;6.9
76932;2011;1;1;21;6.9
76932;2011;1;1;22;6.9
76932;2011;1;1;23;6.9
76932;2011;1;1;24;6.9
76932;2011;1;2;1;6.9
76932;2011;1;2;2;6.9
76932;2011;1;2;3;6.9
76932;2011;1;2;4;6.9
76932;2011;1;2;5;6.9
76932;2011;1;2;6;6.9
76932;2011;1;2;7;6.9
76932;2011;1;2;8;6.9
76932;2011;1;2;9;6.9
76932;2011;1;2;10;6.9
76932;2011;1;2;11;6.9
76932;2011;1;2;12;6.9
76932;2011;1;2;13;6.9
76932;2011;1;2;14;6.9
76932;2011;1;2;15;6.8
76932;2011;1;2;16;6.8
76932;2011;1;2;17;6.9
76932;2011;1;2;18;6.8
76932;2011;1;2;19;6.9
76932;2011;1;2;20;6.9
76932;2011;1;2;21;6.9
76932;2011;1;2;22;6.8
76932;2011;1;2;23;6.8
76932;2011;1;2;24;6.9
76932;2011;1;3;1;6.9
76932;2011;1;3;2;6.9
76932;2011;1;3;3;6.8
76932;2011;1;3;4;6.8
76932;2011;1;3;5;6.9
76932;2011;1;3;6;6.9
76932;2011;1;3;7;6.9
76932;2011;1;3;8;6.8
76932;2011;1;3;9;6.9
76932;2011;1;3;10;6.9
76932;2011;1;3;11;6.9
76932;2011;1;3;12;6.9
76932;2011;1;3;13;6.9
76932;2011;1;3;14;6.9
76932;2011;1;3;15;6.9
76932;2011;1;3;16;6.9
76932;2011;1;3;17;7.0
76932;2011;1;3;18;7.0
76932;2011;1;3;19;7.1
76932;2011;1;3;20;7.0
76932;2011;1;3;21;7.1
76932;2011;1;3;22;7.1
76932;2011;1;3;23;7.0
76932;2011;1;3;24;7.1
76932;2011;1;4;1;7.1
76932;2011;1;4;2;7.1
76932;2011;1;4;3;7.1
76932;2011;1;4;4;7.2
76932;2011;1;4;5;7.1
76932;2011;1;4;6;7.1
76932;2011;1;4;7;7.2
76932;2011;1;4;8;7.2
76932;2011;1;4;9;7.2
76932;2011;1;4;10;7.2
76932;2011;1;4;11;7.2
76932;2011;1;4;12;7.3
76932;2011;1;4;13;7.2
76932;2011;1;4;14;7.3
76932;2011;1;4;15;7.3
76932;2011;1;4;16;7.3
76932;2011;1;4;17;7.3
76932;2011;1;4;18;7.3
76932;2011;1;4;19;7.3
76932;2011;1;4;20;7.3
76932;2011;1;4;21;7.3
76932;2011;1;4;22;7.3
76932;2011;1;4;23;7.3
76932;2011;1;4;24;7.3
76932;2011;1;5;1;7.3
76932;2011;1;5;2;7.3
76932;2011;1;5;3;7.3
76932;2011;1;5;4;7.3
76932;2011;1;5;5;7.3
76932;2011;1;5;6;7.3
76932;2011;1;5;7;7.3
76932;2011;1;5;8;7.2
76932;2011;1;5;9;7.3
76932;2011;1;5;10;7.3
76932;2011;1;5;11;7.2
76932;2011;1;5;12;7.2
76932;2011;1;5;13;7.2
76932;2011;1;5;14;7.2
76932;2011;1;5;15;7.2
76932;2011;1;5;16;7.2
76932;2011;1;5;17;7.2
76932;2011;1;5;18;7.2
76932;2011;1;5;19;7.2
76932;2011;1;5;20;7.1
76932;2011;1;5;21;7.1
76932;2011;1;5;22;7.2
76932;2011;1;5;23;7.1
76932;2011;1;5;24;7.1
76932;2011;1;6;1;7.1
76932;2011;1;6;2;7.1
76932;2011;1;6;3;7.1
76932;2011;1;6;4;7.1
76932;2011;1;6;5;7.1
76932;2011;1;6;6;7.1
76932;2011;1;6;7;7.1
